n,file,score,confidence,query,serp_position,source_domain,source_page,image_url,title,source_size,output_size,kb,quality_note,orig_file
2,borsani-l75__02.jpg,68.6,alta,Borsani L75,10,visconteacasadaste.com,https://www.visconteacasadaste.com/it/asta-0099/borsani-osvaldo-osvaldo-borsani-coppia-di-letti-sovrapponibili-l75-kan-43040,https://api.visconteacasadaste.com/api/lotto/immagine/43040.jpg,"OSVALDO BORSANI : Coppia di letti sovrapponibili L75 Kangaroo per TECNO -  Asta MILANO DECOR - Antiques, Fine Art, Carpets & Design Auction (n. 99) -  Viscontea Casa d'Aste",4000x2667,1600x1600,405.3,"sorgente 4000x2667, 752.3KB; sfondo chiaro pulito ai bordi (88%); q=96; immagine preservata intera: sorgente 4000x2667; niente scontorno/crop",
3,borsani-l75__03.jpg,61.8,alta,Borsani L75,14,deesup.com,https://www.deesup.com/shop/coppia-di-letti-sovrapponibili-l75-di-osvaldo-borsani-anni-60-tecno-352303,https://storage.googleapis.com/deesup_vendure_prod/preview/62/coppia-di-letti-sovrapposti-l75-osvaldo-borsani-per-tecno---italia-1960__05__preview.jpg,Coppia di letti sovrapponibili L75 di Osvaldo Borsani (anni '60),1400x1400,1600x1600,378.9,"sorgente 1400x1400, 101.2KB; sfondo chiaro pulito ai bordi (87%); q=96; immagine preservata intera: sorgente 1400x1400; niente scontorno/crop",
1,borsani-p126__01.jpg,79.4,alta,Borsani P126,1,intondo.com,https://www.intondo.com/it/products/59347/sedute/sedie/sedia-girevole-p126-in-pelle-di-osvaldo-borsani-per-tecno-anni-60,https://www.intondo.com/media/mounted_nas/app-models-product/2023/754929/conversions/intondo-p126-leather-swivel-chair-by-osvaldo-borsani-for-tecno-1960s-1-large.webp,"Sedia girevole P126 in pelle di Osvaldo Borsani per Tecno, anni '60 |  intOndo",1280x1684,1600x1600,433.3,"sorgente 1280x1684, 169.5KB; sfondo chiaro pulito ai bordi (88%); q=96; immagine preservata intera: sorgente 1280x1684; niente scontorno/crop",
1,bbpr-spazio__01.jpg,55.6,media,Belgiojoso Spazio,5,quittenbaum.de,https://www.quittenbaum.de/en/auktionen/design/163C/studio-b-b-p-r-olivetti-ivrea-spazio-filing-cabinet-1959-119330/,https://www.quittenbaum.de/wp-content/themes/quittenbaum/imagecache/119330_3-2000-0.jpg,"Spazio' filing cabinet, 1959 – Studio B.B.P.R.; G.L. Banfi; L. Barbiano di  Belgiojoso; E. Peressutti; E.N. Rogers | Lot 296 – International Design",2000x2000,1600x1600,259.6,"sorgente 2000x2000, 120.1KB; sfondo chiaro pulito ai bordi (99%); q=96; immagine preservata intera: sorgente 2000x2000; niente scontorno/crop",
1,parisi-865__01.jpg,87.4,alta,Parisi 865,1,cambiaste.com,https://www.cambiaste.com/it/asta-1030/ico-parisi-divano-mod-865-330346,https://imageapi.cambiaste.com/api/lotto/immagine/330346.jpg,Ico Parisi : Divano mod. 865. - Asta Design 200 - Cambi Casa d'Aste,4000x3998,1600x1600,426.7,"sorgente 4000x3998, 1369.9KB; sfondo chiaro pulito ai bordi (100%); q=96; immagine preservata intera: sorgente 4000x3998; niente scontorno/crop",
1,parisi-iride__01.jpg,152.2,alta,Parisi Iride,2,cassina.com,https://www.cassina.com/it/it/prodotti/iride-floor-lamp.html?srsltid=AfmBOoqRDUdK7x7FSDWSrtyszCUJlrtrdRpfPt3tkkC21RXvZ-lA0PuA,https://www.cassina.com/content/dam/ld/cassina/products/i/r/i/819-iride-floor-lamp/21_variant-image/lampada_da_terra_h_130-alluminio_lucido.jpg,Iride,3000x2000,1600x1600,101.8,"sorgente 3000x2000, 163.4KB; sfondo chiaro pulito ai bordi (100%); q=96; immagine preservata intera: sorgente 3000x2000; niente scontorno/crop",
1,parisi-palpebra__01.jpg,148.6,alta,Parisi Palpebra,5,cassina.com,https://www.cassina.com/it/it/prodotti/palpebra.html?srsltid=AfmBOoolyeML5Zdzth7gsvkWoUdkx2Ky1Z7Hcl5VvD2CWzJWolHen1cG,https://www.cassina.com/content/dam/ld/cassina/products/p/a/l/818-palpebra/21_variant-image/alluminio_satinato.jpg,Palpebra,2681x1595,1600x1600,121.2,"sorgente 2681x1595, 71.7KB; sfondo chiaro pulito ai bordi (86%); q=96; immagine preservata intera: sorgente 2681x1595; niente scontorno/crop",
1,bonetto-aki__01.jpg,81.4,alta,Bonetto Aki,6,socialdesignmagazine.com,https://socialdesignmagazine.com/mag/products-selection/product/portaombrelli-aki-corallo-design-rodolfo-bonetto-for-b-line/,https://socialdesignmagazine.com/mag/products-selection/wp-content/uploads/sites/2/2023/03/Portaombrelli-Aki-Corallo-B-LINE-Rodolfo-Bonetto.jpg,Portaombrelli Aki Corallo design Rodolfo Bonetto for B-LINE - SDM Product  Selection,1548x1503,1600x1600,201.5,"sorgente 1548x1503, 71.6KB; sfondo chiaro pulito ai bordi (100%); q=96; immagine preservata intera: sorgente 1548x1503; niente scontorno/crop",
2,bonetto-aki__02.jpg,77.8,alta,Bonetto Aki,9,socialdesignmagazine.com,https://socialdesignmagazine.com/mag/products-selection/product/portaombrelli-aki-verde-design-rodolfo-bonetto-for-b-line/,https://socialdesignmagazine.com/mag/products-selection/wp-content/uploads/sites/2/2023/03/Portaombrelli-Aki-Verde-B-LINE-Rodolfo-Bonetto.jpg,Portaombrelli Aki Verde design Rodolfo Bonetto for B-LINE - SDM Product  Selection,1548x1503,1600x1600,213.7,"sorgente 1548x1503, 71.1KB; sfondo chiaro pulito ai bordi (100%); q=96; immagine preservata intera: sorgente 1548x1503; niente scontorno/crop",
1,bonetto-sistema-flu__01.jpg,79.0,alta,Bonetto Sistema Flu,8,whoppah.com,https://www.whoppah.com/it/prodotti/lampada-vintage-sistema-flu-di-rodolfo-bonetto-per-luci-italia-1981-YK5MEG2PS2N5,https://images.whoppah.com/products/YK5MEG2PS2N5/4HDYW9W8V37F/vintage-sistema-flu-lamp-by-rodolfo-bonetto-for-luci-italy-1981.jpeg?width=1280,"Lampada vintage Sistema Flu di Rodolfo Bonetto per Luci, Italia 1981",1280x1280,1600x1600,111.1,"sorgente 1280x1280, 58.4KB; sfondo chiaro pulito ai bordi (99%); q=96; immagine preservata intera: sorgente 1280x1280; niente scontorno/crop",
1,bellini-rr130-totem__01.jpg,50.0,media,Bellini RR130 Totem,4,intondo.com,https://www.intondo.com/it/products/88801/mirabilia/strumenti-e-tecnologia/totem-rr-130-radio-di-mario-bellini-per-brionvega-anni-70,https://www.intondo.com/media/mounted_nas/app-models-product/2024/1296094/conversions/media-library5LNVUM-large.webp,"Totem RR-130 radio di Mario Bellini per Brionvega, anni '70 | intOndo",1280x960,1600x1600,419.1,"sorgente 1280x960, 120.5KB; sorgente con trasparenza; q=96; immagine preservata intera: sorgente 1280x960; niente scontorno/crop",
2,bellini-rr130-totem__02.jpg,47.6,media,Bellini RR130 Totem,6,whoppah.com,https://www.whoppah.com/it/prodotti/radio-stereofonica-totem-rr130-di-mario-bellini-per-brionvega-anni-3970-4BXEOL7IC3R4,https://images.whoppah.com/products/4BXEOL7IC3R4/LYMZJS86OOSN/stereophonic-totem-rr130-radio-by-mario-bellini-for-brionvega-1970s.jpeg?width=1280,"Radio stereofonica Totem Rr130 di Mario Bellini per Brionvega, anni '70",1280x853,1600x1600,175.4,"sorgente 1280x853, 65.7KB; sfondo chiaro pulito ai bordi (99%); q=96; immagine preservata intera: sorgente 1280x853; niente scontorno/crop",
1,bellini-lettera-35__01.jpg,60.2,alta,Bellini Lettera 35,12,bonvini1909.com,https://bonvini1909.com/shop/vintage/macchine-da-scrivere-vintage/olivetti-lettera-35/,https://bonvini1909.com/wp-content/uploads/2020/03/IMG_2328.jpg,Macchina da scrivere vintage Olivetti Lettera 35,1200x1200,1600x1600,287.6,"sorgente 1200x1200, 106.1KB; sfondo chiaro pulito ai bordi (85%); q=96; immagine preservata intera: sorgente 1200x1200; niente scontorno/crop",
1,bellini-lexikon-82__01.jpg,57.8,alta,Bellini Lexikon 82,16,mercatosolidale.manitese.it,https://mercatosolidale.manitese.it/prodotto/olivetti-lexikon-82-macchina-da-scrivere/?srsltid=AfmBOorS9uB16Q7pmsNsbP6BeZyiOAsHeBCDdGxgy3iTUMp5x4VZ9fic,https://ewdmyr7sjem.exactdn.com/wp-content/uploads/2023/06/IMG_20230621_110544.jpg?strip=all,Olivetti LEXIKON 82 macchina da scrivere | Mercato Solidale Mani Tese,1200x1200,1600x1600,230.1,"sorgente 1200x1200, 82.4KB; sfondo chiaro pulito ai bordi (100%); q=96; immagine preservata intera: sorgente 1200x1200; niente scontorno/crop",
1,bellini-cab-413__01.jpg,71.0,alta,Bellini Cab 413,3,artemest.com,https://artemest.com/it-it/products/cab-413-di-mario-bellini-nero,https://cdn.shopify.com/s/files/1/0653/7697/7075/files/62zk8i6gcwqopr03fxnktp7omgj4.jpg?v=1747398753,Cab 413 di Mario Bellini - Nero,1400x1400,1600x1600,228.5,"sorgente 1400x1400, 70.8KB; sfondo chiaro pulito ai bordi (100%); q=96; immagine preservata intera: sorgente 1400x1400; niente scontorno/crop",
2,bellini-cab-413__02.jpg,82.6,alta,Bellini Cab 413,5,artemest.com,https://artemest.com/it-it/products/cab-413-di-mario-bellini-rosso,https://cdn.shopify.com/s/files/1/0653/7697/7075/files/avahieq22xmehslaqtxf09vnpy18.jpg?v=1747398752,Cab 413 di Mario Bellini - Rosso Cassina | Artemest,1400x1400,1600x1600,247.0,"sorgente 1400x1400, 61.2KB; sfondo chiaro pulito ai bordi (100%); q=96; immagine preservata intera: sorgente 1400x1400; niente scontorno/crop",
3,bellini-cab-413__03.jpg,70.2,alta,Bellini Cab 413,7,intondo.com,https://www.intondo.com/it/products/102029/sedute/sedie/coppia-di-sedie-cab-413-di-mario-bellini-per-cassina-anni-80,https://www.intondo.com/media/mounted_nas/app-models-product/2024/1452123/conversions/MOSESE0253425_1_s-large.webp,"Coppia di sedie Cab 413 di Mario Bellini per Cassina, anni '80 | intOndo",1280x1280,1600x1600,235.3,"sorgente 1280x1280, 63.6KB; sfondo chiaro pulito ai bordi (100%); q=96; immagine preservata intera: sorgente 1280x1280; niente scontorno/crop",
1,bellini-pasqui-praxis-35__01.jpg,74.4,alta,Bellini Praxis 35,1,prova.bellini.it,https://prova.bellini.it/portfolio-articoli/praxis-35/,https://prova.bellini.it/wp-content/uploads/2021/06/PRAXIS35_SFONDO-1.jpg,Praxis 35 – Mario Bellini Architects,1920x803,1600x1600,353.7,"sorgente 1920x803, 623.0KB; sfondo chiaro pulito ai bordi (99%); q=96; immagine preservata intera: sorgente 1920x803; niente scontorno/crop",
1,aulenti-sgarsul__01.jpg,66.6,alta,Aulenti Sgarsul,10,cambiaste.com,https://www.cambiaste.com/it/asta-0993/gae-aulenti-poltrona-a-dondolo-mod-sgarsul-314217,https://imageapi.cambiaste.com/api/lotto/immagine/314217.jpg,Gae Aulenti : Poltrona a dondolo mod. Sgarsul - Asta Design 200 - Cambi  Casa d'Aste,4000x3952,1600x1600,413.1,"sorgente 4000x3952, 1013.6KB; sfondo chiaro pulito ai bordi (99%); q=96; immagine preservata intera: sorgente 4000x3952; niente scontorno/crop",
2,aulenti-sgarsul__02.jpg,59.8,alta,Aulenti Sgarsul,16,intondo.com,https://www.intondo.com/it/products/121971/sedute/poltrone/sgarsul-poltrona-a-dondolo-di-gae-aulenti-anni-60,https://www.intondo.com/media/mounted_nas/app-models-product/2025/1747994/conversions/media-libraryTLRpOF-large.webp,"Sgarsul poltrona a dondolo di Gae Aulenti, anni '60 | intOndo",1280x1707,1600x1600,399.2,"sorgente 1280x1707, 191.0KB; sorgente con trasparenza; q=96; immagine preservata intera: sorgente 1280x1707; niente scontorno/crop",
1,aulenti-stringa-armchair__01.jpg,79.8,alta,Aulenti Stringa Armchair,9,exteta.it,https://www.exteta.it/en/products/chairs-stools-and-armchairs/stringa-armchair-1963,https://exteta-strapi.futurecriteria.com/uploads/Stringa_Armchair03_38f92dfc04.jpg,"Stringa Armchair 1963 – Chairs, Stools & Armchairs | Exteta",1920x1920,1600x1600,230.0,"sorgente 1920x1920, 117.6KB; sfondo chiaro pulito ai bordi (100%); q=96; immagine preservata intera: sorgente 1920x1920; niente scontorno/crop",
2,aulenti-stringa-armchair__02.jpg,76.2,alta,Aulenti Stringa Armchair,12,exteta.it,https://www.exteta.it/en/products/chairs-stools-and-armchairs/stringa-armchair-1963,https://exteta-strapi.futurecriteria.com/uploads/Stringa_Armchair02_Mobile_e4ce9e5d0b.jpg,"Stringa Armchair 1963 – Chairs, Stools & Armchairs | Exteta",1920x2400,1600x1600,202.7,"sorgente 1920x2400, 138.1KB; sfondo chiaro pulito ai bordi (100%); q=96; immagine preservata intera: sorgente 1920x2400; niente scontorno/crop",
1,branzi-mies__01.jpg,73.4,alta,Branzi Mies,1,salvioniarredamenti.it,https://www.salvioniarredamenti.it/it/prodotti/poltronova-mies-poltrona/,https://www.salvioniarredamenti.it/imgcatalogo/prodotti/poltronova/poltronova_poltrona_mies.jpg,Poltronova - Mies Poltrona | Salvioni,1200x900,1600x1600,140.6,"sorgente 1200x900, 75.3KB; sfondo chiaro pulito ai bordi (100%); q=96; immagine preservata intera: sorgente 1200x900; niente scontorno/crop",
1,mari-timor__01.jpg,71.0,alta,Mari Timor,3,shop.mohd.it,https://shop.mohd.it/it/timor-calendario-ita.html,https://cdn.mohd.it/cache/image/format=webp/media/catalog/product/t/i/timor-danese.jpg,Danese Milano Timor Calendario ITA,1200x900,1600x1600,178.7,"sorgente 1200x900, 60.1KB; sfondo chiaro pulito ai bordi (100%); q=96; immagine preservata intera: sorgente 1200x900; niente scontorno/crop",
2,mari-timor__02.jpg,68.6,alta,Mari Timor,5,designperte.it,https://www.designperte.it/complementi/soprammobili/danese-milano/timor-calendario-perpetuo-verde?srsltid=AfmBOooXAV1Pg-s8CZfnLDeciyTJiKJWKaY8RAj2KlxQZ-47z_7JuVRY,https://www.designperte.it/upl/timor-verde-calendario-perpetuo-danese-2.jpg,Timor Calendario perpetuo Verde DANESE MILANO | DESIGNPERTE.IT,1200x1200,1600x1600,210.7,"sorgente 1200x1200, 214.9KB; sfondo chiaro pulito ai bordi (100%); q=96; immagine preservata intera: sorgente 1200x1200; niente scontorno/crop",
1,zanuso-woodline__01.jpg,73.0,alta,Zanuso Woodline,3,designitaly.com,https://designitaly.com/it/products/upholstered-wood-armchair-woodline-marco-zanuso-cassina?srsltid=AfmBOoo1tKD-ThZAE1mm_S-ApzgxA2urlxQYqZu8460bXQTNiBolvGSh,http://designitaly.com/cdn/shop/products/natural-leather-armchair-WOODLINE-by-marco-zanuso-by-cassina-2-72192.jpg?v=1682323158,Poltrona imbottita in legno WOODLINE di Marco Zanuso per Cassina. Acquista  su Design Italy,2400x2400,1600x1600,278.1,"sorgente 2400x2400, 124.4KB; sfondo chiaro pulito ai bordi (100%); q=96; immagine preservata intera: sorgente 2400x2400; niente scontorno/crop",
2,zanuso-woodline__02.jpg,82.2,alta,Zanuso Woodline,7,bus-cando.com,https://bus-cando.com/it/sedute/904-poltrona-design-marco-zanuso-per-arflex-modello-woodline.html,https://bus-cando.com/647-thickbox_default/poltrona-design-marco-zanuso-per-arflex-modello-woodline.jpg,Poltrona design Marco Zanuso per Arflex modello Woodline,2000x3000,1600x1600,428.3,"sorgente 2000x3000, 553.9KB; sfondo chiaro pulito ai bordi (86%); q=94; immagine preservata intera: sorgente 2000x3000; niente scontorno/crop",
1,zanuso-maggiolina__01.jpg,153.4,alta,Zanuso Maggiolina,1,zanotta.com,https://www.zanotta.com/it/prodotti/poltrone/maggiolina,https://www.zanotta.com/ContentsFiles/Zanotta_poltrona%20Maggiolina900_IP08%20Nappa0306.jpg,Maggiolina Chaise Longue di design | Zanotta,1868x1200,1600x1600,227.3,"sorgente 1868x1200, 125.9KB; sfondo chiaro pulito ai bordi (100%); q=96; immagine preservata intera: sorgente 1868x1200; niente scontorno/crop",
1,zanuso-fourline__01.jpg,69.4,alta,Zanuso Fourline,6,cambiaste.com,https://www.cambiaste.com/uk/auction-0120/marco-zanuso-arflex-3-104595,https://imageapi.cambiaste.com/api/lotto/immagine/104595.jpg,Marco Zanuso - Arflex Fourline - Auction Decorative Arts of Twenty Century  and Design - Cambi Casa d'Aste,1200x1162,1600x1600,260.9,"sorgente 1200x1162, 82.8KB; sfondo chiaro pulito ai bordi (100%); q=96; immagine preservata intera: sorgente 1200x1162; niente scontorno/crop",
1,zanuso-sleepomatic__01.jpg,77.8,alta,Zanuso Sleep-o-matic,9,intondo.com,https://www.intondo.com/it/products/3410/sedute/divani/divano-letto-sleep-o-matic-di-marco-zanuso-per-artflex-anni-50,https://www.intondo.com/media/mounted_nas/app-models-product/2019/29613/conversions/intondo_sleep-o-matic_zanuso_arflex_vintage-large.webp,"Divano letto Sleep-O-Matic di Marco Zanuso per Artflex, anni '50",1280x1280,1600x1600,303.4,"sorgente 1280x1280, 140.9KB; sfondo chiaro pulito ai bordi (100%); q=96; immagine preservata intera: sorgente 1280x1280; niente scontorno/crop",
2,zanuso-sleepomatic__02.jpg,59.6,media,Zanuso Sleep-o-matic,10,arsvalue.com,https://www.arsvalue.com/it/lotti/23154/zanuso-marco-sleep-o-matic-divano-trasformabile-in-letto-struttura-in,https://www.arsvalue.com/Upl/Auctions/124/258/23154/892-0.jpg,ZANUSO MARCO Sleep-o-matic Divano trasformabile in letto. Struttura in... |  Sant'Agostino | ArsValue.com,1400x885,1600x1600,220.7,"sorgente 1400x885, 61.0KB; sfondo chiaro pulito ai bordi (100%); q=96; immagine preservata intera: sorgente 1400x885; niente scontorno/crop",
1,zanuso-algol__01.jpg,66.2,alta,Zanuso Algol,2,maisonbibelot.com,https://www.maisonbibelot.com/it/asta-0279/televisore-algol-11-marco-zanuso-e-richard-sapper-per-brionvega-159930,https://api.maisonbibelot.com/api/lotto/immagine/159930.jpg,"Televisore Algol 11, Marco Zanuso e Richard Sapper per Brionvega (Italia,  Anni Sessanta) - Asta La casa moderna - Maison Bibelot - Casa d'Aste  Firenze - Milano",3000x2250,1600x1600,217.3,"sorgente 3000x2250, 291.8KB; sfondo chiaro pulito ai bordi (100%); q=96; immagine preservata intera: sorgente 3000x2250; niente scontorno/crop",
1,zanuso-blackst201__01.jpg,75.0,alta,Zanuso Black ST 201,3,quittenbaum.de,https://www.quittenbaum.de/en/auktionen/design/170A/richard-sapperbrionvega-mailand-tv-black-st-201-1969-126549/,https://www.quittenbaum.de/wp-content/themes/quittenbaum/imagecache/126549_2-2000-0.jpg,"TV 'black st 201', 1969 – Richard Sapper, Marco Zanuso | Lot 204 – Italian  Design",2000x2000,1600x1600,244.9,"sorgente 2000x2000, 119.3KB; sfondo chiaro pulito ai bordi (86%); q=96; immagine preservata intera: sorgente 2000x2000; niente scontorno/crop",
2,zanuso-blackst201__02.jpg,72.6,alta,Zanuso Black ST 201,5,quittenbaum.de,https://www.quittenbaum.de/en/auktionen/design/170A/richard-sapperbrionvega-mailand-tv-black-st-201-1969-126549/,https://www.quittenbaum.de/wp-content/themes/quittenbaum/imagecache/126549-2000-0.jpg,"TV 'black st 201', 1969 – Richard Sapper, Marco Zanuso | Lot 204 – Italian  Design",2000x2000,1600x1600,290.3,"sorgente 2000x2000, 145.6KB; sfondo chiaro pulito ai bordi (100%); q=96; immagine preservata intera: sorgente 2000x2000; niente scontorno/crop",
1,bellini-camaleonda__01.jpg,152.2,alta,Bellini Camaleonda,2,bebitalia.com,https://www.bebitalia.com/it-it/it-camaleonda-divani.html,https://www.bebitalia.com/media/catalog/product/S/l/Slider_0_298_bebitalia_sofa_Camaleonda_01.jpg,Divano Camaleonda - B&B Italia,2549x1500,1600x1600,239.2,"sorgente 2549x1500, 124.1KB; sfondo chiaro pulito ai bordi (100%); q=96; immagine preservata intera: sorgente 2549x1500; niente scontorno/crop",
1,pesce-nobodys-perfect__01.jpg,65.4,alta,Pesce Nobody's Perfect,11,cambiaste.com,https://www.cambiaste.com/it/asta-1100/gaetano-pesce-mobile-contenitore-della-serie-nobodys-perfect-351995,https://imageapi.cambiaste.com/api/lotto/immagine/351995.jpg,Gaetano Pesce : Mobile contenitore della serie Nobody's Perfect. - Asta  Fine Design - Cambi Casa d'Aste,3490x3490,1600x1600,439.0,"sorgente 3490x3490, 587.5KB; sfondo chiaro pulito ai bordi (87%); q=96; immagine preservata intera: sorgente 3490x3490; niente scontorno/crop",
2,pesce-nobodys-perfect__02.jpg,49.8,alta,Pesce Nobody's Perfect,14,ragoarts.com,https://www.ragoarts.com/auctions/2017/09/modern-design/1287,https://www.ragoarts.com/items/index/2000/1287_3_modern_design_september_2017_gaetano_pesce_four_nobodys_perfect_chairs__rago_auction.jpg?t=1610547137,"1287: GAETANO PESCE, Four Nobody's Perfect Chairs < Modern Design, 24  September 2017 < Auctions | Rago Auctions",2000x2000,1600x1600,448.4,"sorgente 2000x2000, 680.7KB; sfondo chiaro pulito ai bordi (100%); q=92; immagine preservata intera: sorgente 2000x2000; niente scontorno/crop",
1,aulenti-jumbo__01.jpg,74.2,alta,Aulenti Jumbo,2,cambiaste.com,https://www.cambiaste.com/it/asta-0212-2/gae-aulenti-4-134369,https://imageapi.cambiaste.com/api/lotto/immagine/134369.jpg,Gae Aulenti Jumbo - Asta Design - II - Cambi Casa d'Aste,1200x838,1600x1600,200.0,"sorgente 1200x838, 59.0KB; sfondo chiaro pulito ai bordi (100%); q=96; immagine preservata intera: sorgente 1200x838; niente scontorno/crop",
